JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456682.59034,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.702,Z,9.198,9.741,,SN 2014J,AAVSO,STD,,,,
2456682.59070,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.701,Z,9.197,9.728,,SN 2014J,AAVSO,STD,,,,
2456682.59107,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.699,Z,9.210,9.756,,SN 2014J,AAVSO,STD,,,,
2456682.59143,10.89,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.698,Z,9.187,9.727,,SN 2014J,AAVSO,STD,,,,
2456682.59179,10.90,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.696,Z,9.173,9.709,,SN 2014J,AAVSO,STD,,,,
2456682.59215,10.86,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.695,Z,9.179,9.730,,SN 2014J,AAVSO,STD,,,,
2456682.59250,10.86,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.693,Z,9.203,9.726,,SN 2014J,AAVSO,STD,,,,
2456682.592708,11.125,0.002,,V,KPK,,000-BLG-312,000-BLG-313,13177LY,,0,,Z,9.193,9.856,,SN 2014J,AAVSO,STD,,,,
2456682.59271,11.085,0.002,,V,KPK,,ENSEMBLE,133,13198CZR,,0,,Z,,13.250,,SN 2014J,AAVSO,STD,0,,,
2456682.59286,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.692,Z,9.184,9.729,,SN 2014J,AAVSO,STD,,,,
2456682.59323,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.690,Z,9.184,9.727,,SN 2014J,AAVSO,STD,,,,
