JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457890.897998,13.100,0.006,,B,FSRA,,138,145,X18838AA,ITEL-T21,0,1.239,Z,12.987,13.810,,SN 2017EAW,,STD,,,,
2457890.99558,13.060,0.032,,B,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.994|VERR=0.028|CREFMAG=13.482|CREFERR=0.055|KREFMAG=14.139|KREFERR=0.048|VX=0.0000|CX=0.0000|KX=0.0000|TB_BV=0.2950|TB_BVERR=0.0110|TAVER=2.49,1,1.128,Z,14.313,14.923,,SN 2017EAW,AAVSO,STD,110,,,
2457890.99631,13.042,0.038,,B,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.937|VERR=0.025|CREFMAG=13.482|CREFERR=0.055|KREFMAG=14.139|KREFERR=0.048|VX=0.0000|CX=0.0000|KX=0.0000|TB_BV=0.2950|TB_BVERR=0.0110|TAVER=2.49,1,1.128,Z,14.281,14.907,,SN 2017EAW,AAVSO,STD,111,,,
2457890.99720,12.885,0.039,,V,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=14.185|VERR=0.038|CREFMAG=12.959|CREFERR=0.039|KREFMAG=13.438|KREFERR=0.034|VX=0.0000|CX=0.0000|KX=0.0000|TV_BV=-0.0500|TV_BVERR=0.0170|TAVER=2.49,1,1.127,Z,14.276,14.792,,SN 2017EAW,AAVSO,STD,110,,,
2457890.99832,12.844,0.089,,V,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=14.843|VERR=0.089|CREFMAG=12.959|CREFERR=0.039|KREFMAG=13.438|KREFERR=0.034|VX=0.0000|CX=0.0000|KX=0.0000|TV_BV=-0.0500|TV_BVERR=0.0170|TAVER=2.49,1,1.126,Z,14.974,15.413,,SN 2017EAW,AAVSO,STD,111,,,
2457891.30,12.9,,,Vis.,HCS,,000,,999999,,,,Z,,,,SN 2017EAW,MCSE,STD,,,,
2457891.35,12.6,,,Vis.,BOZ,,120,130,170516,,,,Z,,,,SN 2017EAW,MCSE,STD,,,,
2457891.35,12.7,,,Vis.,PPS,,000,,999999,,,,Z,,,,SN 2017EAW,MCSE,STD,,,,
2457891.357685,12.8807,0.0020,,CV,MXI,,ENSEMBLE,,X18827AG,,0,,Z,,,,SN 2017EAW,UAI,STD,,,,
2457891.36597,12.8,,,Vis.,SKI,,000,,999999,,,,Z,,,,SN 2017EAW,MCSE,STD,,,,
2457891.36721,13.041,0.025,,B,NOT,,000-BCL-945,000-BCL-940,X18809B,CLOUDS,0,1.86,Z,13.482,14.131,,SN 2017EAW,BAV,STD,3,,,
2457891.36782,12.858,0.015,,V,NOT,,000-BCL-945,000-BCL-940,X18809B,CLOUDS,0,1.85,Z,12.959,13.409,,SN 2017EAW,BAV,STD,3,,,
2457891.38542,12.75,0.05,,CV,WKL,,,,X18820AP,,0,,Z,12.5,13.0,,SN 2017EAW,BAV,STD,,,,
2457891.3861,12.8,,,Vis.,KWO,,125,130,X18833JY,,,,Z,,,,SN 2017EAW,BAV,STD,,,,
2457891.40278,12.5,,,Vis.,GPIA,,115,125,X18833IX,,,,Z,,,,SN 2017EAW,AAVSO,STD,,,,
2457891.40650,12.553,0.012,,R,ELTA,,000-BLC-945,,X18808M,,0,2.127,Z,-12.545,,2457891.40556,AT 2017EAW,AAM,STD,,,,
2457891.423194,12.846,0.002,,CV,HSTF,,000-BCL-945,000-BCL-922,X18833CQ,,0,1.546,Z,11.601,10.121,,SN 2017EAW,,STD,,,,
2457891.42757,12.804,0.010,,V,AFSA,,NA,000-BCL-945,X18808M,,0,2.409,Z,,12.959,2457891.42663,AT 2017EAW,AAVSO,STD,,,,
2457891.42794,12.842,0.010,,V,AFSA,,NA,000-BCL-945,X18808M,,0,2.404,Z,,12.959,2457891.42700,AT 2017EAW,AAVSO,STD,,,,
2457891.42831,12.796,0.010,,V,AFSA,,NA,000-BCL-945,X18808M,,0,2.399,Z,,12.959,2457891.42737,AT 2017EAW,AAVSO,STD,,,,
2457891.42867,12.808,0.011,,V,AFSA,,NA,000-BCL-945,X18808M,,0,2.394,Z,,12.959,2457891.42773,AT 2017EAW,AAVSO,STD,,,,
2457891.42904,12.820,0.010,,V,AFSA,,NA,000-BCL-945,X18808M,,0,2.388,Z,,12.959,2457891.42810,AT 2017EAW,AAVSO,STD,,,,
2457891.42940,12.880,0.011,,V,AFSA,,NA,000-BCL-945,X18808M,,0,2.384,Z,,12.959,2457891.42846,AT 2017EAW,AAVSO,STD,,,,
2457891.42976,12.792,0.010,,V,AFSA,,NA,000-BCL-945,X18808M,,0,2.379,Z,,12.959,2457891.42882,AT 2017EAW,AAVSO,STD,,,,
2457891.43012,12.840,0.010,,V,AFSA,,NA,000-BCL-945,X18808M,,0,2.374,Z,,12.959,2457891.42918,AT 2017EAW,AAVSO,STD,,,,
2457891.43049,12.803,0.010,,V,AFSA,,NA,000-BCL-945,X18808M,,0,2.369,Z,,12.959,2457891.42955,AT 2017EAW,AAVSO,STD,,,,
2457891.43086,12.832,0.010,,V,AFSA,,NA,000-BCL-945,X18808M,,0,2.364,Z,,12.959,2457891.42992,AT 2017EAW,AAVSO,STD,,,,
