JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457888.38333,13.124,0.014,,V,BDG,,ENSEMBLE,GSC 4246 0639,APASS,,1,1.892,Z,,13.446,,SN 2017EAW,BAA-VSS,STD,1,,,
2457888.38390,13.162,0.027,,B,BDG,,ENSEMBLE,GSC 4246 0639,APASS,,1,1.888,Z,,14.201,,SN 2017EAW,BAA-VSS,STD,2,,,
2457888.38447,13.113,0.019,,V,BDG,,ENSEMBLE,GSC 4246 0639,APASS,,1,1.885,Z,,13.486,,SN 2017EAW,BAA-VSS,STD,2,,,
2457888.38504,13.182,0.029,,B,BDG,,ENSEMBLE,GSC 4246 0639,APASS,,1,1.881,Z,,14.214,,SN 2017EAW,BAA-VSS,STD,3,,,
2457888.38561,13.112,0.017,,V,BDG,,ENSEMBLE,GSC 4246 0639,APASS,,1,1.878,Z,,13.449,,SN 2017EAW,BAA-VSS,STD,3,,,
2457888.38618,13.162,0.023,,B,BDG,,ENSEMBLE,GSC 4246 0639,APASS,,1,1.875,Z,,14.263,,SN 2017EAW,BAA-VSS,STD,4,,,
2457888.38675,13.108,0.017,,V,BDG,,ENSEMBLE,GSC 4246 0639,APASS,,1,1.871,Z,,13.471,,SN 2017EAW,BAA-VSS,STD,4,,,
2457888.38732,13.169,0.038,,B,BDG,,ENSEMBLE,GSC 4246 0639,APASS,,1,1.868,Z,,14.289,,SN 2017EAW,BAA-VSS,STD,5,,,
2457888.38789,13.091,0.018,,V,BDG,,ENSEMBLE,GSC 4246 0639,APASS,,1,1.864,Z,,13.461,,SN 2017EAW,BAA-VSS,STD,5,,,
2457888.38845,13.178,0.023,,B,BDG,,ENSEMBLE,GSC 4246 0639,APASS,,1,1.861,Z,,14.214,,SN 2017EAW,BAA-VSS,STD,6,,,
2457888.38902,13.108,0.015,,V,BDG,,ENSEMBLE,GSC 4246 0639,APASS,,1,1.858,Z,,13.486,,SN 2017EAW,BAA-VSS,STD,6,,,
2457888.38959,13.146,0.027,,B,BDG,,ENSEMBLE,GSC 4246 0639,APASS,,1,1.854,Z,,14.256,,SN 2017EAW,BAA-VSS,STD,7,,,
2457888.39016,13.114,0.013,,V,BDG,,ENSEMBLE,GSC 4246 0639,APASS,,1,1.851,Z,,13.484,,SN 2017EAW,BAA-VSS,STD,7,,,
2457888.39073,13.182,0.026,,B,BDG,,ENSEMBLE,GSC 4246 0639,APASS,,1,1.847,Z,,14.299,,SN 2017EAW,BAA-VSS,STD,8,,,
